id_referensi,kategori,nama_perusahaan,kota,alamat,jenis_ausbildung,spesialisasi,tahun_mulai,bulan_mulai,gaji,skor_kelengkapan,tipe_website,email_bewerbung,link_bewerbung,cara_apply,kontak_hr,link_arbeitsagentur,ringkasan,butuh_manual,status_lamaran,prioritas,deskripsi,persyaratan,tanggal_scrape
MAD-2388629466,meine_ausbildung_ae,baumann GmbH,Amberg,,Ausbildung zum Fachinformatiker (m/w/d) - Anwendungsentwicklung,ae,,,,40,company,,https://www.baumann-gmbh.de/de/jobs_karriere/offene-Stellen/2026_Ausbildung-zum-Fachinformatiker-m-w-d-Anwendungsentwicklung.php?utm_source=meine-ausbildung-in-deutschland,portal,,,baumann GmbH | Ausbildung zum Fachinformatiker (m/w/d) - Anwendungsentwicklung | Amberg,ya,belum,rendah,Ausbildung zum Fachinformatiker (m/w/d) - Anwendungsentwicklung,,2026-06-11T11:58:39.173705+00:00
MAD-2439646906,meine_ausbildung_ae,Deprag Schulz GmbH u. CO,Amberg,,Duales Studium Industrie-4.0-Informatik inkl. Ausbildung zum Fachinformatiker* für Anwendungsentwicklung,dual,,,,40,company,,https://www.deprag.com/de/unternehmen/jobs-karriere/duales-studium/industrie-40-informatik.html?utm_source=meine-ausbildung-in-deutschland,portal,,,Deprag Schulz GmbH u. CO | Duales Studium Industrie-4.0-Informatik inkl. Ausbildung zum Fachinformatiker* für Anwendungsentwicklung | Amberg,ya,belum,rendah,Duales Studium Industrie-4.0-Informatik inkl. Ausbildung zum Fachinformatiker* für Anwendungsentwicklung,,2026-06-11T11:45:06.595650+00:00
MAD-2428748976,meine_ausbildung_ae,baumann GmbH,Amberg,,Praktikum in den Ausbildungsberufen Fachinformatiker (m/w/d) Anwendungsentwicklung / Daten- und Prozessanalyse / Systemintegration / Digitale Vernetzung,skip,,,,40,company,,https://www.baumann-gmbh.de/de/jobs_karriere/offene-Stellen/Praktikum-in-den-Ausbildungsberufen-Fachinformatiker-m-w-d-Anwendungsentwicklung-Daten-und-Prozessanalyse-Systemintegration-Digitale-Vernetzung.php?utm_source=meine-ausbildung-in-deutschland,portal,,,baumann GmbH | Praktikum in den Ausbildungsberufen Fachinformatiker (m/w/d) Anwendungsentwicklung / Daten- und Prozessanalyse / Systemintegration / Digitale Vernetzung | Amberg,ya,belum,rendah,Praktikum in den Ausbildungsberufen Fachinformatiker (m/w/d) Anwendungsentwicklung / Daten- und Prozessanalyse / Systemintegration / Digitale Vernetzung,,2026-06-11T11:50:13.565195+00:00
