id_referensi,kategori,nama_perusahaan,kota,alamat,jenis_ausbildung,spesialisasi,tahun_mulai,bulan_mulai,gaji,skor_kelengkapan,tipe_website,email_bewerbung,link_bewerbung,cara_apply,kontak_hr,link_arbeitsagentur,ringkasan,butuh_manual,status_lamaran,prioritas,deskripsi,persyaratan,tanggal_scrape
10001-1003188198-S,fachinformatiker_ae_2026,Wilhelm Kächele GmbH Elastomertechnik,Weilheim an der Teck,"Jahnstr. 9, 73235 Weilheim an der Teck",Ausbildung | Fachinformatiker/in - Anwendungsentwicklung,ae,2026,9,,80,ba_portal,,https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1003188198-S,ba_portal,,https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1003188198-S,Wilhelm Kächele GmbH Elastomertechnik | Ausbildung | Fachinformatiker/in - Anwendungsentwicklung | Weilheim an der Teck,ya,belum,rendah,"Wir suchen:
eine:n Auszubildende:n zum

*Fachinformatiker - Anwendungsentwicklung (m/w/d)*

**Allgemeines:**

Du möchtest mit einer dualen Ausbildung ins Berufsleben starten und dabei von Anfang an eine attraktive Vergütung erhalten? Dann bist du bei uns genau richtig! Zum 01.09.2026 bieten wir dir eine 3-jährige duale Ausbildung an.

Deine Ausbildung beginnt mit einer spannenden Einführungswoche zusammen mit allen neuen Azubis. So lernst du dein Team kennen – denn in den nächsten drei Jahren werdet ihr viel gemeinsam erleben und wachsen.

Du wechselst regelmäßig zwischen Praxisphasen in unseren kaufmännischen Abteilungen und dem Unterricht an der Max-Eyth-Schule in Kirchheim unter Teck (1–2 Tage pro Woche). So verbindest du Theorie und Praxis optimal.

**Ausbildungsinhalte:**

Bei uns lernst du alles rund um die Entwicklung, Umsetzung und Dokumentation von Softwarelösungen, die genau auf die Bedürfnisse unserer Nutzer abgestimmt sind:

- Du entwickelst Software und Anwendungen, unter anderem in Programmiersprachen wie ABAP, ABAP OO und Java
- Du kümmerst dich um die IT-Dokumentation, damit alles gut festgehalten wird
- Du führst Tests durch, um sicherzustellen, dass alles einwandfrei funktioniert
- Du behältst die IT-Prozesse im Blick und sorgst dafür, dass alles reibungslos läuft
- Du passt Standardsoftware an und sorgst dafür, dass sie perfekt zu den Anforderungen passt
- Du unterstützt Projekte von der Planung bis zur Umsetzung und sorgst für die Kontrolle, dass alles nach Plan läuft
- Du hilfst Kolleginnen und Kollegen mit Fragen zur Software und gibst Schulungen, damit jeder die Tools richtig nutzen kann

**Dein Profil:**

- Du hast einen guten mittleren Schulabschluss, die Fachhochschulreife oder das Abi – und dein Herz schlägt für Informatik, Computer und Technik? Dann passt du super zu uns!
- Du bist neugierig, arbeitest gerne im Team und hast Spaß daran, dich in neue Themen reinzufuchsen. Wenn du mitdenkst, dir gerne selbst Aufgaben suchst und dabei verantwortungsvoll und sorgfältig arbeitest, bringst du genau die richtige Einstellung mit
- Und was bei dir auf keinen Fall fehlen darf: eine gute Portion Ehrgeiz – denn du willst nicht nur mitlaufen, sondern richtig was bewegen

**Unser Angebot:**

- Werde Teil eines globalen Unternehmens, das mit innovativen Produkten die Welt erobert
- Sicherheit & Perspektive: Unser Ziel ist es, langfristig mit dir Zusammenzuarbeiten und gemeinsam zu wachsen!
- Attraktive Ausbildungsvergütung: Ausbildung vergütet mit 1.150 bis 1.286 Euro monatlich – nicht schlecht, oder?
- Zusätzliche Extras: Weihnachts- und Urlaubsgeld sorgen für ein bisschen extra Motivation auf der Gehaltsabrechnung
- Work-Life-Balance: 37,5 Std./Woche und flexible Arbeitszeiten durch Gleitzeit – so hast du Zeit für alles
- 30 Urlaubstage – Wer liebt es nicht, mal abzuschalten?
- Karrierechancen: Viele Führungskräfte bei uns haben als Auszubildende oder Studierende angefangen – dein Weg nach oben ist also möglich

***Möchtest du auch ein Teil unseres Teams werden?***
***Dann bewirb dich jetzt für den Ausbildungsstart am 01.09.2026!***

 Wilhelm Kächele GmbH
Jahnstr. 9
73235 Weilheim/Teck
07023 103 391","- Du passt Standardsoftware an und sorgst dafür, dass sie perfekt zu den Anforderungen passt
- Du unterstützt Projekte von der Planung bis zur Umsetzung und sorgst für die Kontrolle, dass alles nach Plan läuft
- Du hilfst Kolleginnen und Kollegen mit Fragen zur Software und gibst Schulungen, damit jeder die Tools richtig nutzen kann
Mittlere Reife / Realschulabschluss",2026-06-11T08:12:13.521405+00:00
MAD-2432482704,meine_ausbildung_ae,Creative Software GmbH,Weilheim an der Teck,,zum/zur Fachinformatiker/in - Fachrichtung Anwendungsentwicklung,ae,,,,40,company,,https://www.creative-software.de/career/?utm_source=meine-ausbildung-in-deutschland,portal,,,Creative Software GmbH | zum/zur Fachinformatiker/in - Fachrichtung Anwendungsentwicklung | Weilheim an der Teck,ya,belum,rendah,zum/zur Fachinformatiker/in - Fachrichtung Anwendungsentwicklung,,2026-06-11T11:48:31.801330+00:00
MAD-2452684491,meine_ausbildung_ae,Wilhelm Kächele GmbH,Weilheim an der Teck,,Fachinformatiker Fachrichtung Anwendungsentwicklung (m/w/d) 2026,ae,,,,40,company,,https://karriere.w-kaechele.de/persis/public?fn=bm.jobs.details&projectID=37770792&configKey=Azubi&utm_source=meine-ausbildung-in-deutschland,portal,,,Wilhelm Kächele GmbH | Fachinformatiker Fachrichtung Anwendungsentwicklung (m/w/d) 2026 | Weilheim an der Teck,ya,belum,rendah,Fachinformatiker Fachrichtung Anwendungsentwicklung (m/w/d) 2026,,2026-06-11T11:35:44.904565+00:00
