id_referensi,kategori,nama_perusahaan,kota,alamat,jenis_ausbildung,spesialisasi,tahun_mulai,bulan_mulai,gaji,skor_kelengkapan,tipe_website,email_bewerbung,link_bewerbung,cara_apply,kontak_hr,link_arbeitsagentur,ringkasan,butuh_manual,status_lamaran,prioritas,deskripsi,persyaratan,tanggal_scrape
10000-1204158422-S,fachinformatiker_ae,Neufra Speditions GmbH,Kirchheim unter Teck,"Neue Weilheimer Str. 14, 73230 Kirchheim unter Teck",Ausbildung | Fachinformatiker/in - Anwendungsentwicklung,ae,2027,,,87,ba_portal,,https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1204158422-S,ba_portal,"• Feste und verfügbare Ansprechpartner
• Kostenlose Getränke
• Möglichkeit, zusätzliche **IHK-Qualifikationen (ZQs)** zu erwerben",https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1204158422-S,Neufra Speditions GmbH | Ausbildung | Fachinformatiker/in - Anwendungsentwicklung | Kirchheim unter Teck,ya,belum,rendah,"Wir sind ein kompetentes Team aus System- & Netzwerk-Admins und Anwendungsentwicklern mit jahrelanger Erfahrung in der IT-Branche. Gemeinsam bilden wir seit 2001 die interne IT-Abteilung der NEUFRA Speditions GmbH. Wir sind verantwortlich für über 100 Server und 600 Arbeitsplätze, die über ganz Europa vernetzt im Einsatz sind.

Seit vielen Jahren bilden wir erfolgreich Fachinformatiker aus und begleiten sie intensiv und verantwortungsvoll bis zum erfolgreichen Abschluss.

**Du hast Lust auf Informatik, aber willst nicht nur Theorie pauken?**
Du hast gerade dein Abi, Fachabi oder deinen Realschulabschluss gemacht? Dein Studium passt nicht mehr zu dir? Du möchtest sofort praktische IT-Erfahrungen sammeln? Dann bist du bei uns genau richtig! Fundierte PC- und Microsoft-Kenntnisse sind von Vorteil – vorausgesetzt, du bringst ein tiefgehendes IT-Interesse mit und hast bereits erste konkrete IT-Erfahrungen, idealerweise auch in der Programmierung, gesammelt. Den Rest erwirbst du in deiner Ausbildung bei uns, denn bei uns zählt echtes Engagement und aktive Mitarbeit.

Bei uns lernst du, wie du **betriebsinterne Anwendungen programmierst**, **Datenbanken planst** und **Oberflächen gestaltest**. Du arbeitest mit **VB.NET und ab sofort auch C#** und wirst in die spannende **Webentwicklung mit ASP.NET** eingeführt. Begriffe wie objektorientierte Programmierung, Schnittstellen, LINQ, Vererbung, Polymorphie, Delegates, Modifizierer, Datenbindung und SQL sind nach deiner Ausbildung keine trockene Theorie mehr – du wirst sie aktiv in deinen Projekten anwenden.

**Und das Beste: Du bist nicht allein!**
Wir haben bereits Azubis in verschiedenen Lehrjahren, die dir mit Rat und Tat zur Seite stehen und dir den Einstieg erleichtern. Bei uns findest du immer Unterstützung, egal ob von den erfahrenen Kollegen oder den anderen Azubis.

**Was wir von dir erwarten:**
• Tiefgehendes IT-Interesse und erste konkrete IT-Erfahrungen (z. B. Programmierung).
• Grundlegende PC- und Microsoft-Kenntnisse (Windows 11, Word, Excel)
• Proaktive Lernbereitschaft und frische Ideen.
• Teamgeist und den Antrieb, Verantwortung zu übernehmen.

**Was wir dir bieten:**
...in der Ausbildung
• Überdurchschnittliche Ausbildungsvergütung
• Betriebliche Altersvorsorge
• Vermögenswirksame Leistungen (VWL)
• Kostenerstattung für öffentliche Verkehrsmittel
• Sehr gute Grundlagenvermittlung
• Feste und verfügbare Ansprechpartner
• Kostenlose Getränke
• Möglichkeit, zusätzliche **IHK-Qualifikationen (ZQs)** zu erwerben

...nach der Ausbildung
• Sehr gute Übernahmechancen
• Work-Life-Balance mit der Möglichkeit, teilweise im Homeoffice zu arbeiten

...noch ein paar Dinge über uns
• Wir pflegen eine lockere ""Du""-Kultur ab dem ersten Gespräch
• Kein Dresscode – im Büro tragen wir, was uns gefällt
• IT ist für uns keine 9-to-5-Arbeit, sondern Leidenschaft!
• Wir nehmen uns – im Gegensatz zu unserer Arbeit – nicht immer zu ernst, dafür verstehen wir uns umso besser :-)
• Deine Ideen und Verbesserungsvorschläge sind immer willkommen
• **Vielfalt und Offenheit** sind bei der NEUFRA Spedition selbstverständlich – jede\*r ist willkommen!

Für das Ausbildungsjahr 2027 bieten wir einen Ausbildungsplatz als Fachinformatiker\*in für Anwendungsentwicklung an!

**Motivierte Berufseinsteiger** mit einem **guten Realschulabschluss, Fachhochschulreife oder Abitur** sind bei uns gerne gesehen. Du solltest Spaß am Lernen haben und dich aktiv in unser Team einbringen wollen.

**Quereinsteiger und Studienabbrecher** mit Interesse an der Anwendungsentwicklung sind bei uns ebenso willkommen und geschätzt!

**Klingt gut?**
Dann bewirb dich jetzt und schick uns deine Bewerbung als PDF per E-Mail. Vielleicht sehen wir uns bald bei einem Online-Interview oder persönlich!","Du hast gerade dein Abi, Fachabi oder deinen Realschulabschluss gemacht? Dein Studium passt nicht mehr zu dir? Du möchtest sofort praktische IT-Erfahrungen sammeln? Dann bist du bei uns genau richtig! Fundierte PC- und Microsoft-Kenntnisse sind von Vorteil – vorausgesetzt, du bringst ein tiefgehendes IT-Interesse mit und hast bereits erste konkrete IT-Erfahrungen, idealerweise auch in der Programmierung, gesammelt. Den Rest erwirbst du in deiner Ausbildung bei uns, denn bei uns zählt echtes Engagement und aktive Mitarbeit.
Bei uns lernst du, wie du **betriebsinterne Anwendungen programmierst**, **Datenbanken planst** und **Oberflächen gestaltest**. Du arbeitest mit **VB.NET und ab sofort auch C#** und wirst in die spannende **Webentwicklung mit ASP.NET** eingeführt. Begriffe wie objektorientierte Programmierung, Schnittstellen, LINQ, Vererbung, Polymorphie, Delegates, Modifizierer, Datenbindung und SQL sind nach deiner Ausbildung keine trockene Theorie mehr – du wirst sie aktiv in deinen Projekten anwenden.
Mittlere Reife / Realschulabschluss",2026-06-11T09:12:00.681261+00:00
STEP-14073770,stepstone_de_ae,CeramTec GmbH,Kirchheim unter Teck,Kirchheim unter Teck Kirchheim unter Teck,Ausbildung | zum Fachinformatiker (w/m/d) Systemintegration 2027,si,,,,53,empty,,https://twitter.com/stepstone_de,portal,,,CeramTec GmbH | Ausbildung | zum Fachinformatiker (w/m/d) Systemintegration 2027 | Kirchheim unter Teck,tidak,belum,sedang,"Ausbildung zum Fachinformatiker (w/m/d) Systemintegration 2027

Deine Aufgaben:
In deiner Rolle als Azubi planst und konfigurierst IT-Systeme, wie beispielsweise die Installation und Einrichtung von Hardwarekomponenten, Betriebssystemen und Netzwerken
Die Wartung von IT-Systemen gehört ebenfalls zu deinen Aufgaben
Du berätst und unterstützt die Anwender und Anwenderinnen bei Anwendungsproblemen
Als angehende:r Fachinformatiker:in grenzt du bei Störungen die Ursachen z.B. mit Hilfe von Diagnosesystemen ein und behebst die Fehlfunktionen
Was Du mitbringen solltest:
Du verfügst über eine Mittlere Reife oder einen höherwertigeren Abschluss
Du hast Freude am Arbeiten in einem Team und bist nicht nur kommunikativ, sondern kannst auch logisch denken
Deine Stärken liegen in Informatik und Englisch

Dein Profil wird durch dein hohes Engagement und Reisebereitschaft abgerundet
Idealerweise besitzt du bereits einen Führerschein

Benefits
Wir machen keine Unterschiede zwischen Alter, Geschlecht, sexueller Orientierung, Religion, ethnischer und sozialer Herkunft oder Behinderung.
Azubicamp & Standortbesuch Gemeinsame Projekte & Seminare Sonderurlaubstage & Abschlussprämien Bücher- & Skriptgeld Hohe Übernahmequote und individuelle Entwicklungsmöglichkeiten Sonderzahlungen & Firmenvorteile Betriebliche Altersvorsorge & Gesundheits­programme Betriebssport & Mitarbeiterevents Erste-Hilfe-Kurs iPad & Lernmittel Kantine 13. Monatseinkommen und Urlaubsgeld Gut erreichbar mit öffentlichen Verkehrsmitteln","Dein Profil wird durch dein hohes Engagement und Reisebereitschaft abgerundet
Idealerweise besitzt du bereits einen Führerschein",2026-06-12T20:32:46.976188+00:00
