id_referensi,kategori,nama_perusahaan,kota,alamat,jenis_ausbildung,spesialisasi,tahun_mulai,bulan_mulai,gaji,skor_kelengkapan,tipe_website,email_bewerbung,link_bewerbung,cara_apply,kontak_hr,link_arbeitsagentur,ringkasan,butuh_manual,status_lamaran,prioritas,deskripsi,persyaratan,tanggal_scrape
ASD-998030000052484093,ausbildungsstellen_si,Azubiyo,"Moers, Eick, Genend, Kohlenhuck, Repelen, Utfort","Galmesweg 58 47445 Moers, Eick, Genend, Kohlenhuck, Repelen, Utfort Nordrhein-Westfalen",Ausbildung zum Fachinformatiker für Anwendungsentwicklung (m/w/d) DevOps - 2026,ae,2026,9,,67,company,,https://www.azubiyo.de/bewerbung/,portal,,,"Azubiyo | Ausbildung zum Fachinformatiker für Anwendungsentwicklung (m/w/d) DevOps - 2026 | Moers, Eick, Genend, Kohlenhuck, Repelen, Utfort",tidak,belum,sedang,"Ausbildung zum Fachinformatiker für Anwendungsentwicklung (m/w/d) DevOps - 2026

Das lernst du bei uns
- Du entwickelst und programmierst maßgeschneiderte Software und Anwendungen für unsere Fachbereiche mit der Programmiersprache C#.
- Dabei übernimmst du die Planung, Konzeption sowie das Testen der Programme, um deren Qualität sicherzustellen.
- Zu deinem Aufgabenbereich gehören außerdem die Gestaltung benutzerfreundlicher Oberflächen und die Entwicklung praxisgerechter Lösungen.

- Während deiner gesamten Ausbildung wirst du aktiv in unsere Entwicklungsarbeiten eingebunden und übernimmst erste eigene Projekte. Dabei wirst du von einem engagierten Team unterstützt.Das bringst du mit
- Du hast einen guten Abschluss der mittleren Reife, Fachhochschulreife oder allgemeinen Hochschulreife und Interesse an IT-Themen sowie neuen Technologien.
- Gute schulische Leistungen in den Fächern Mathematik und ggf. Informatik zeichnen dich aus.
- Du arbeitest gerne im Team und bist kommunikativ.
- Verantwortung zu übernehmen und Initiative zu ergreifen, ist für dich selbstverständlich.
- Du verfügst über sehr gute Deutschkenntnisse in Wort und Schrift.

- Erste Erfahrungen in der Softwareentwicklung sind wünschenswert, idealerweise mit den Programmiersprachen C# oder Java.Das bieten wir dir
- Die Ausbildung dauert insgesamt 3 Jahre und beginnt voraussichtlich ab dem 01.09.2026
- Die Beschulung findet in folgenden Berufsschulen statt:Montag und Dienstag am Mercator-Berufskolleg
- Mittwoch und Freitag am Berufskolleg für Technik Moers
- Dich erwartet ein spannendes Onboarding- und Ausbildungsprogramm, um dir einen angenehmen Start in unser Unternehmen zu ermöglichen.
- Unsere Nachwuchskräfte-Events garantieren dir gute Laune und viel Spaß.
- Wir stellen gute Übernahmechancen in einem zukunftssicheren Unternehmen in Aussicht.
- Bei uns erhältst du zahlreiche Vergünstigungen in Kooperation mit unterschiedlichen Unternehmen (Corporate Benefits).
- In unserem Neubau arbeitest du an modern ausgestatteten Arbeitsplätzen und kannst in unserem Betriebsrestaurant „Café Schleupen“ zu Mittag essen.
- Es erwarten dich spannende und herausfordernde Themen im Zukunftsmarkt Energie.","- Während deiner gesamten Ausbildung wirst du aktiv in unsere Entwicklungsarbeiten eingebunden und übernimmst erste eigene Projekte. Dabei wirst du von einem engagierten Team unterstützt.Das bringst du mit
- Du hast einen guten Abschluss der mittleren Reife, Fachhochschulreife oder allgemeinen Hochschulreife und Interesse an IT-Themen sowie neuen Technologien.
- Gute schulische Leistungen in den Fächern Mathematik und ggf. Informatik zeichnen dich aus.
- Du arbeitest gerne im Team und bist kommunikativ.
- Verantwortung zu übernehmen und Initiative zu ergreifen, ist für dich selbstverständlich.
- Du verfügst über sehr gute Deutschkenntnisse in Wort und Schrift.",2026-06-13T12:42:06.198266+00:00
AZUB-a11fa6fe,azubiyo_de_ae,Azubiyo,"Moers, Eick, Genend, Kohlenhuck, Repelen, Utfort","Galmesweg 58 47445 Moers, Eick, Genend, Kohlenhuck, Repelen, Utfort Nordrhein-Westfalen",Ausbildung | zum Fachinformatiker für Anwendungsentwicklung (m/w/d) DevOps - 2026,ae,2026,9,,60,empty,,https://www.azubiyo.de/stellenanzeigen/A11FA6FE/bewerben/,portal,,,"Azubiyo | Ausbildung | zum Fachinformatiker für Anwendungsentwicklung (m/w/d) DevOps - 2026 | Moers, Eick, Genend, Kohlenhuck, Repelen, Utfort",tidak,belum,sedang,"Ausbildung zum Fachinformatiker für Anwendungsentwicklung (m/w/d) DevOps - 2026

Das lernst du bei uns
- Du entwickelst und programmierst maßgeschneiderte Software und Anwendungen für unsere Fachbereiche mit der Programmiersprache C#.
- Dabei übernimmst du die Planung, Konzeption sowie das Testen der Programme, um deren Qualität sicherzustellen.
- Zu deinem Aufgabenbereich gehören außerdem die Gestaltung benutzerfreundlicher Oberflächen und die Entwicklung praxisgerechter Lösungen.

- Während deiner gesamten Ausbildung wirst du aktiv in unsere Entwicklungsarbeiten eingebunden und übernimmst erste eigene Projekte. Dabei wirst du von einem engagierten Team unterstützt.Das bringst du mit
- Du hast einen guten Abschluss der mittleren Reife, Fachhochschulreife oder allgemeinen Hochschulreife und Interesse an IT-Themen sowie neuen Technologien.
- Gute schulische Leistungen in den Fächern Mathematik und ggf. Informatik zeichnen dich aus.
- Du arbeitest gerne im Team und bist kommunikativ.
- Verantwortung zu übernehmen und Initiative zu ergreifen, ist für dich selbstverständlich.
- Du verfügst über sehr gute Deutschkenntnisse in Wort und Schrift.

- Erste Erfahrungen in der Softwareentwicklung sind wünschenswert, idealerweise mit den Programmiersprachen C# oder Java.Das bieten wir dir
- Die Ausbildung dauert insgesamt 3 Jahre und beginnt voraussichtlich ab dem 01.09.2026
- Die Beschulung findet in folgenden Berufsschulen statt:Montag und Dienstag am Mercator-Berufskolleg
- Mittwoch und Freitag am Berufskolleg für Technik Moers
- Dich erwartet ein spannendes Onboarding- und Ausbildungsprogramm, um dir einen angenehmen Start in unser Unternehmen zu ermöglichen.
- Unsere Nachwuchskräfte-Events garantieren dir gute Laune und viel Spaß.
- Wir stellen gute Übernahmechancen in einem zukunftssicheren Unternehmen in Aussicht.
- Bei uns erhältst du zahlreiche Vergünstigungen in Kooperation mit unterschiedlichen Unternehmen (Corporate Benefits).
- In unserem Neubau arbeitest du an modern ausgestatteten Arbeitsplätzen und kannst in unserem Betriebsrestaurant „Café Schleupen“ zu Mittag essen.
- Es erwarten dich spannende und herausfordernde Themen im Zukunftsmarkt Energie.","- Während deiner gesamten Ausbildung wirst du aktiv in unsere Entwicklungsarbeiten eingebunden und übernimmst erste eigene Projekte. Dabei wirst du von einem engagierten Team unterstützt.Das bringst du mit
- Du hast einen guten Abschluss der mittleren Reife, Fachhochschulreife oder allgemeinen Hochschulreife und Interesse an IT-Themen sowie neuen Technologien.
- Gute schulische Leistungen in den Fächern Mathematik und ggf. Informatik zeichnen dich aus.
- Du arbeitest gerne im Team und bist kommunikativ.
- Verantwortung zu übernehmen und Initiative zu ergreifen, ist für dich selbstverständlich.
- Du verfügst über sehr gute Deutschkenntnisse in Wort und Schrift.",2026-06-12T09:51:43.793802+00:00
ASD-998030000556758341,ausbildungsstellen_si,Azubiyo,"Moers, Eick, Genend, Kohlenhuck, Repelen, Utfort","Edekaplatz 1 47445 Moers, Eick, Genend, Kohlenhuck, Repelen, Utfort Nordrhein-Westfalen",Ausbildung Fachinformatiker:in Anwendungsentwicklung (m/w/d),dpa,,,,73,company,,https://www.azubiyo.de/bewerbung/,portal,,,"Azubiyo | Ausbildung Fachinformatiker:in Anwendungsentwicklung (m/w/d) | Moers, Eick, Genend, Kohlenhuck, Repelen, Utfort",tidak,belum,sedang,"Ausbildung Fachinformatiker:in Anwendungsentwicklung (m/w/d)

- Starke Verbindung zur Wirtschaft – über 70 Kooperationsunternehmen im IT-Bereich. Mit dem ATIW hast du einen Berufsschulpartner, der dir beste Voraussetzungen für deinen Erfolg bietet, dich individuell fördert und dir gleichzeitig ermöglicht, ein einzigartiges Netzwerk aufzubauen.

- Hohe Reisebereitschaft: Die schulische Ausbildung findet im Blockunterricht am ATIW Berufskolleg in Paderborn statt. Das bieten wir dir
- Spannende Projekte & echte Verantwortung von Anfang an: Bei uns bist du Teil des Teams und gestaltest die digitale Zukunft des Handels mit.
- Theorie & Praxis im ständigen Wechsel: Studiere an einer Top-Hochschule und setze dein Wissen direkt bei EDEKA ein.
- Vielfältige Entwicklungsmöglichkeiten: Nutze zahlreiche Trainings, Workshops und Network-Events, um neue Skills zu entwickeln.
- Betreuung: Du erhältst eine feste Ansprechperson während deiner Ausbildungszeit.
- Modernes Arbeiten: Flexible Arbeitszeiten, 30 Urlaubstage, hybrides Arbeiten (im Büro und mobil) und eine hochwertige technische Ausstattung.
- Karrierechancen: Sehr gute Übernahmechancen und die Möglichkeit, dich in deinem Wunschbereich zu spezialisieren.
- Mitarbeitervorteile: Profitiere von starken Benefits wie Mitarbeiterrabatten, Sportangeboten, Events u.v.m.
- Kosten für die private Berufsschule am ATIW werden komplett übernommen. Deine Berufsschule: ATIW Paderborn
Deine schulische Ausbildung findet zusammen mit allen EDEKA IT Azubis aus ganz Deutschland am renommierten ATIW Berufskolleg im Technologiepark Paderborn statt – eine der führenden privaten IT-Berufsschulen in Deutschland.
Hier erwarten dich:
- Blockunterricht & Unterkunft direkt an der Schule – du lernst, wohnst und vernetzt dich mit Azubis aus ganz Deutschland.
- Praxisnaher Unterricht mit Fokus auf Datenanalyse, Prozessmodellierung und digitalen Tools.
- Neue, innovative Räume im Technologiepark Paderborn seit 2024 – perfekt für zeitgemäßes Lernen.
- Modern ausgestattete IT-Labore mit Netzwerktechnik, Cisco-Labs und virtuellen Umgebungen.
- Exzellente Ausbildungsergebnisse, viele Absolvent:innen gehören regelmäßig zu den IHK-Besten.","- Starke Verbindung zur Wirtschaft – über 70 Kooperationsunternehmen im IT-Bereich. Mit dem ATIW hast du einen Berufsschulpartner, der dir beste Voraussetzungen für deinen Erfolg bietet, dich individuell fördert und dir gleichzeitig ermöglicht, ein einzigartiges Netzwerk aufzubauen.",2026-06-13T12:45:09.843122+00:00
ASD-998030003734487989,ausbildungsstellen_si,Azubiyo,"Moers, Eick, Genend, Kohlenhuck, Repelen, Utfort","Edekaplatz 1 47445 Moers, Eick, Genend, Kohlenhuck, Repelen, Utfort Nordrhein-Westfalen",Ausbildung Fachinformatiker:in Daten- und Prozessanalyse (m/w/d),dpa,,,,73,company,,https://www.azubiyo.de/bewerbung/,portal,,,"Azubiyo | Ausbildung Fachinformatiker:in Daten- und Prozessanalyse (m/w/d) | Moers, Eick, Genend, Kohlenhuck, Repelen, Utfort",tidak,belum,sedang,"Ausbildung Fachinformatiker:in Daten- und Prozessanalyse (m/w/d)

- Starke Verbindung zur Wirtschaft – über 70 Kooperationsunternehmen im IT-Bereich. Mit dem ATIW hast du einen Berufsschulpartner, der dir beste Voraussetzungen für deinen Erfolg bietet, dich individuell fördert und dir gleichzeitig ermöglicht, ein einzigartiges Netzwerk aufzubauen.

- Hohe Reisebereitschaft: Die schulische Ausbildung findet im Blockunterricht am ATIW Berufskolleg in Paderborn statt. Das bieten wir dir
- Spannende Projekte & echte Verantwortung von Anfang an: Bei uns bist du Teil des Teams und gestaltest die digitale Zukunft des Handels mit.
- Theorie & Praxis im ständigen Wechsel: Studiere an einer Top-Hochschule und setze dein Wissen direkt bei EDEKA ein.
- Vielfältige Entwicklungsmöglichkeiten: Nutze zahlreiche Trainings, Workshops und Network-Events, um neue Skills zu entwickeln.
- Betreuung: Du erhältst eine feste Ansprechperson während deiner Ausbildungszeit.
- Modernes Arbeiten: Flexible Arbeitszeiten, 30 Urlaubstage, hybrides Arbeiten (im Büro und mobil) und eine hochwertige technische Ausstattung.
- Karrierechancen: Sehr gute Übernahmechancen und die Möglichkeit, dich in deinem Wunschbereich zu spezialisieren.
- Mitarbeitervorteile: Profitiere von starken Benefits wie Mitarbeiterrabatten, Sportangeboten, Events u.v.m.
- Kosten für die private Berufsschule am ATIW werden komplett übernommen. Deine Berufsschule: ATIW Paderborn
Deine schulische Ausbildung findet zusammen mit allen EDEKA IT Azubis aus ganz Deutschland am renommierten ATIW Berufskolleg im Technologiepark Paderborn statt – eine der führenden privaten IT-Berufsschulen in Deutschland.
Hier erwarten dich:
- Blockunterricht & Unterkunft direkt an der Schule – du lernst, wohnst und vernetzt dich mit Azubis aus ganz Deutschland.
- Praxisnaher Unterricht mit Fokus auf Datenanalyse, Prozessmodellierung und digitalen Tools.
- Neue, innovative Räume im Technologiepark Paderborn seit 2024 – perfekt für zeitgemäßes Lernen.
- Modern ausgestattete IT-Labore mit Netzwerktechnik, Cisco-Labs und virtuellen Umgebungen.
- Exzellente Ausbildungsergebnisse, viele Absolvent:innen gehören regelmäßig zu den IHK-Besten.","- Starke Verbindung zur Wirtschaft – über 70 Kooperationsunternehmen im IT-Bereich. Mit dem ATIW hast du einen Berufsschulpartner, der dir beste Voraussetzungen für deinen Erfolg bietet, dich individuell fördert und dir gleichzeitig ermöglicht, ein einzigartiges Netzwerk aufzubauen.",2026-06-13T12:59:47.135935+00:00
AZUB-15e82e34,azubiyo_de_dpa,Azubiyo,"Moers, Eick, Genend, Kohlenhuck, Repelen, Utfort","Edekaplatz 1 47445 Moers, Eick, Genend, Kohlenhuck, Repelen, Utfort Nordrhein-Westfalen",Ausbildung | Fachinformatiker:in Daten- und Prozessanalyse (m/w/d),dpa,,,,67,empty,,https://www.azubiyo.de/stellenanzeigen/15E82E34/bewerben/,portal,,,"Azubiyo | Ausbildung | Fachinformatiker:in Daten- und Prozessanalyse (m/w/d) | Moers, Eick, Genend, Kohlenhuck, Repelen, Utfort",tidak,belum,sedang,"Ausbildung Fachinformatiker:in Daten- und Prozessanalyse (m/w/d)

- Starke Verbindung zur Wirtschaft – über 70 Kooperationsunternehmen im IT-Bereich. Mit dem ATIW hast du einen Berufsschulpartner, der dir beste Voraussetzungen für deinen Erfolg bietet, dich individuell fördert und dir gleichzeitig ermöglicht, ein einzigartiges Netzwerk aufzubauen.

- Hohe Reisebereitschaft: Die schulische Ausbildung findet im Blockunterricht am ATIW Berufskolleg in Paderborn statt. Das bieten wir dir
- Spannende Projekte & echte Verantwortung von Anfang an: Bei uns bist du Teil des Teams und gestaltest die digitale Zukunft des Handels mit.
- Theorie & Praxis im ständigen Wechsel: Studiere an einer Top-Hochschule und setze dein Wissen direkt bei EDEKA ein.
- Vielfältige Entwicklungsmöglichkeiten: Nutze zahlreiche Trainings, Workshops und Network-Events, um neue Skills zu entwickeln.
- Betreuung: Du erhältst eine feste Ansprechperson während deiner Ausbildungszeit.
- Modernes Arbeiten: Flexible Arbeitszeiten, 30 Urlaubstage, hybrides Arbeiten (im Büro und mobil) und eine hochwertige technische Ausstattung.
- Karrierechancen: Sehr gute Übernahmechancen und die Möglichkeit, dich in deinem Wunschbereich zu spezialisieren.
- Mitarbeitervorteile: Profitiere von starken Benefits wie Mitarbeiterrabatten, Sportangeboten, Events u.v.m.
- Kosten für die private Berufsschule am ATIW werden komplett übernommen. Deine Berufsschule: ATIW Paderborn
Deine schulische Ausbildung findet zusammen mit allen EDEKA IT Azubis aus ganz Deutschland am renommierten ATIW Berufskolleg im Technologiepark Paderborn statt – eine der führenden privaten IT-Berufsschulen in Deutschland.
Hier erwarten dich:
- Blockunterricht & Unterkunft direkt an der Schule – du lernst, wohnst und vernetzt dich mit Azubis aus ganz Deutschland.
- Praxisnaher Unterricht mit Fokus auf Datenanalyse, Prozessmodellierung und digitalen Tools.
- Neue, innovative Räume im Technologiepark Paderborn seit 2024 – perfekt für zeitgemäßes Lernen.
- Modern ausgestattete IT-Labore mit Netzwerktechnik, Cisco-Labs und virtuellen Umgebungen.
- Exzellente Ausbildungsergebnisse, viele Absolvent:innen gehören regelmäßig zu den IHK-Besten.","- Starke Verbindung zur Wirtschaft – über 70 Kooperationsunternehmen im IT-Bereich. Mit dem ATIW hast du einen Berufsschulpartner, der dir beste Voraussetzungen für deinen Erfolg bietet, dich individuell fördert und dir gleichzeitig ermöglicht, ein einzigartiges Netzwerk aufzubauen.",2026-06-12T09:55:48.927276+00:00
