id_referensi,kategori,nama_perusahaan,kota,alamat,jenis_ausbildung,spesialisasi,tahun_mulai,bulan_mulai,gaji,skor_kelengkapan,tipe_website,email_bewerbung,link_bewerbung,cara_apply,kontak_hr,link_arbeitsagentur,ringkasan,butuh_manual,status_lamaran,prioritas,deskripsi,persyaratan,tanggal_scrape
10000-1202852462-S,fachinformatiker_ae_2026,Schapfl IT-Scannerkassen GmbH,Straubing,"Ittlinger Str. 86, 94315 Straubing",Ausbildung | Fachinformatiker/in - Anwendungsentwicklung,ae,2026,,,67,ba_portal,,https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1202852462-S,ba_portal,,https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1202852462-S,Schapfl IT-Scannerkassen GmbH | Ausbildung | Fachinformatiker/in - Anwendungsentwicklung | Straubing,ya,belum,rendah,"Wir suchen ab sofort und für das Ausbildungsjahr 2026 Auszubildende:

Fachinformatiker Anwendungsentwicklung (m/w/d)

ein innovatives Arbeitsumfeld mit interessanten Aufgaben.

Bei einer Ausbildung zum Fachinformatiker, Fachrichtungen Anwendungsentwicklung (m/w/d) bei SCHAPFL erwartet Dich ein innovatives Arbeitsumfeld mit interessanten Aufgaben.

In unserem modernen Büroneubau findest Du ein lichtdurchflutetes und designorientiertes Arbeitsumfeld.
Als Marktführer legen wir höchsten Wert auf beste Qualität und ausgezeichnete Dienstleistung für unsere Kunden.
Die Basis unserer täglichen Teamarbeit bildet die sehr offene, familiäre und freundliche sowie die kommunikative SCHAPFL-Unternehmenskultur.

Deine Herausforderung:

- Plane als Fachinformatiker, Fachrichtungen Anwendungsentwicklung (m/w/d) Software-Projekte für unsere Kunden. Setze nachhaltig diese Projekte bei unseren Anwendern um. 
- Sei innovativ und arbeite daran die Feature-Wünsche unserer Kunden umzusetzen. 
- Sei mit dabei, wenn in unserem IT-Kompetenzcenter an den neusten Updates gearbeitet wird. Bringe Dich aktiv ein. Deine Ideen sind hier gefragt.

Aufgrund unserer Vielzahl an Quereinsteiger, Studienabbrecher oder Umschüler, bist auch Du herzlich eingeladen, Dich zu bewerben, sobald Du den Willen und die Motivation hast, neues zu lernen.

In einer immer weiter zunehmend digitaler werdenden Welt bietet eine Ausbildung zum Fachinformatiker, Fachrichtungen Anwendungsentwicklung (m/w/d) die ideale Zukunftsperspektive. Starte darum beruflich durch und nutze Deine Chance in einem führenden niederbayerischen IT-Unternehmen.

Starte Deine IT-Karriere ohne Umwege. SCHAPFL bietet Dir dazu alle Möglichkeiten.",Mittlere Reife / Realschulabschluss,2026-06-11T08:12:41.041211+00:00
MAD-2440951171,meine_ausbildung_ae,Henrichsen AG,Straubing,,Ausbildung Fachinformatiker für Anwendungsentwicklung (m/w/d),ae,,,,40,company,,https://www.henrichsen.de/karriere/stellenangebote/ausbildung-fachinformatiker-fuer-anwendungsentwicklung?utm_source=meine-ausbildung-in-deutschland,portal,,,Henrichsen AG | Ausbildung Fachinformatiker für Anwendungsentwicklung (m/w/d) | Straubing,ya,belum,rendah,Ausbildung Fachinformatiker für Anwendungsentwicklung (m/w/d),,2026-06-11T11:44:03.765684+00:00
MAD-2414965354,meine_ausbildung_ae,Sonplas GmbH,Straubing,,Was macht ein Fachinformatiker für Anwendungsentwicklung (m/w/d),ae,,,,40,company,,https://jobs.sonplas.de/deine-ausbildung-bei-uns/?utm_source=meine-ausbildung-in-deutschland,portal,,,Sonplas GmbH | Was macht ein Fachinformatiker für Anwendungsentwicklung (m/w/d) | Straubing,ya,belum,rendah,Was macht ein Fachinformatiker für Anwendungsentwicklung (m/w/d),,2026-06-11T11:53:19.889651+00:00
10000-1202852514-S,fachinformatiker_dpa,Schapfl IT-Scannerkassen GmbH,Straubing,"Ittlinger Str. 86, 94315 Straubing",Ausbildung | Fachinformatiker/in - Daten- und Prozessanalyse,dpa,2026,,,67,ba_portal,,https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1202852514-S,ba_portal,,https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1202852514-S,Schapfl IT-Scannerkassen GmbH | Ausbildung | Fachinformatiker/in - Daten- und Prozessanalyse | Straubing,ya,belum,rendah,"Wir suchen ab sofort und für das Ausbildungsjahr 2026 eine/n Auszubildenden:

Fachinformatiker für die Fachrichtung Daten- und Prozessanalyse (m/w/d)

Dich erwartet bei Deiner Ausbildung zum Fachinformatiker Fachrichtung Daten- und Prozessanalyse ein innovatives Arbeitsumfeld mit interessanten Aufgaben. In unserem modernen Büro-Neubau findest Du ein lichtdurchflutetes und designorientiertes Arbeitsumfeld.

Als Marktführer legen wir höchsten Wert auf beste Qualität und ausgezeichnete Dienstleistung für unsere Kunden.

Die Basis unserer täglichen Teamarbeit bildet die sehr offene, familiäre und freundliche sowie die kommunikative SCHAPFL-Unternehmenskultur.

Deine Herausforderungen:

- Produktions- und Geschäftsprozesse werden zunehmend digitaler. 
- Auch im Einzelhandel bei unseren Kunden.
- Sei dabei, wenn diese Abläufe an die neuen und veränderten Bedingungen angepasst werden. 

Unsere Kunden können sich jederzeit darauf verlassen, dass sich Ihr Kassensystem auf dem neusten Stand der Technik befindet.

Aufgrund unserer Vielzahl an Quereinsteiger, Studienabbrecher oder Umschüler, bist auch Du herzlich eingeladen, Dich zu bewerben, sobald Du den Willen und die Motivation hast, neues zu lernen.

Arbeite daran mit und lerne neue innovative Möglichkeiten kennen.
Ein interessantes und nie langweilig werdendes Berufsfeld erwartet Dich.

In einer immer weiter zunehmend digitaler werdenden Welt bietet eine Ausbildung zum
Fachinformatiker, Fachrichtung Daten- und Prozessanalyse (m/w/d)
die ideale Zukunftsperspektive. Starte darum beruflich durch und
nutze Deine Chance in einem führenden niederbayerischen IT-Unternehmen.

Starte Deine IT-Karriere ohne Umwege. SCHAPFL bietet Dir dazu alle Möglichkeiten.",Mittlere Reife / Realschulabschluss,2026-06-11T08:16:01.922389+00:00
