id_referensi,kategori,nama_perusahaan,kota,alamat,jenis_ausbildung,spesialisasi,tahun_mulai,bulan_mulai,gaji,skor_kelengkapan,tipe_website,email_bewerbung,link_bewerbung,cara_apply,kontak_hr,link_arbeitsagentur,ringkasan,butuh_manual,status_lamaran,prioritas,deskripsi,persyaratan,tanggal_scrape
STEP-13011879,stepstone_de_ae,Rizoudis Individualsoftware und Verfahrenstechnik GmbH,Dachau,Dachau Dachau,Ausbildung | Software-Entwickler (m/w/d),ae,,,,60,empty,,https://twitter.com/stepstone_de,portal,Kontakt,,Rizoudis Individualsoftware und Verfahrenstechnik GmbH | Ausbildung | Software-Entwickler (m/w/d) | Dachau,tidak,belum,sedang,"Software-Entwickler (m/w/d)

Ihre Aufgaben
Sie entwickeln Datenbankanwendungen, primär in der Entwicklungsumgebung Embarcadero Delphi.
Sie übernehmen und betreuen bestehende Kundenprojekte, die sie laufend weiterentwickeln.
Sie entwickeln neue kundenspezifische Anwendungen und setzen diese um.
Das Spektrum der Anwendungen reicht von klassischen Datenbanklösungen über Windows basierte Systeme bis zu Web-Anwendungen und Android, Mac-OS.
Zur Entwicklung sowie Betreuung bestehender und neuer Anwendungen gehören deren Test, Dokumentation und Präsentation sowie Beratung, Schulung und laufender Support der Benutzer.
Wir erwarten
Abgeschlossene Ausbildung zum Fachinformatiker Anwendungsentwicklung, idealerweise spezialisiert auf Datenbanken, oder Quereinsteiger mit vergleichbaren Kenntnissen.
Erfahrung in der Datenmodellierung mit SQL-Datenbanken (idealerweise mit Firebird)
Umfangreiche Kenntnisse und sicherer Umgang mit der Sprache Delphi, Kenntnisse zu React.js und Node.js für die Web-Anwendungsentwicklung wären von Vorteil.
Neugier und Begeisterungsfähigkeit für neue Technologien bis hin zu Web-Anwendungen, eigene Ideen, aber auch Teamfähigkeit und die Bereitschaft, im Bedarfsfall einen anderen als den eigenen Stil zu akzeptieren
Kommunikationsfähigkeit nach innen und außen
Gute (IT-)Englisch- und Deutschkenntnisse in Wort und Schrift.

Wir bieten Ihnen
• Ausreichend Einarbeitungszeit und Unterstützung durch erfahrene Kollegen.
Die Perspektive, Ihre vorhandenen Grundkenntnisse gemeinsam mit unserem Fachwissen auszubauen und Sie langfristig zu einem Spezialisten in Ihrem Beruf zu machen.
Die Möglichkeit, ein wertvolles Mitglied unseres Unternehmens zu werden. Es zählt Ihre Persönlichkeit.
Eine leistungsbezogene Bezahlung.",,2026-06-12T21:03:06.713054+00:00
MAD-2436606228,meine_ausbildung_ae,Priskon e. K.,Dachau,,Auszubildende/r zum Fachinformatiker/in Anwendungsentwicklung (zum 01.09.2024),ae,,,,40,company,,https://www.priskon.de/karriere/?utm_source=meine-ausbildung-in-deutschland,portal,,,Priskon e. K. | Auszubildende/r zum Fachinformatiker/in Anwendungsentwicklung (zum 01.09.2024) | Dachau,ya,belum,rendah,Auszubildende/r zum Fachinformatiker/in Anwendungsentwicklung (zum 01.09.2024),,2026-06-11T11:46:30.935899+00:00
