id_referensi,kategori,nama_perusahaan,kota,alamat,jenis_ausbildung,spesialisasi,tahun_mulai,bulan_mulai,gaji,skor_kelengkapan,tipe_website,email_bewerbung,link_bewerbung,cara_apply,kontak_hr,link_arbeitsagentur,ringkasan,butuh_manual,status_lamaran,prioritas,deskripsi,persyaratan,tanggal_scrape
MAD-2372577485,meine_ausbildung_ae,Gewo Feinmechanik GmbH,Bayern,,Ausbildung zum/zur Fachinformatiker/in für Anwendungsentwicklung (m/w/d),ae,,,,40,company,,https://karriere.gewo.net/Ausbildung-zumzur-Fachinformatikerin-fr-Anwendungsentwickl-de-j342.html?utm_source=meine-ausbildung-in-deutschland,portal,,,Gewo Feinmechanik GmbH | Ausbildung zum/zur Fachinformatiker/in für Anwendungsentwicklung (m/w/d) | Bayern,ya,belum,rendah,Ausbildung zum/zur Fachinformatiker/in für Anwendungsentwicklung (m/w/d),,2026-06-11T12:03:00.600188+00:00
MAD-2430728823,meine_ausbildung_ae,microSYST Systemelectronic GmbH,Bayern,,Deine Ausbildung bei microSYST: Fachinformatiker/-in Anwendungsentwicklung (m/w/d) – Fragen & Antworten,ae,,,,40,company,,https://www.microsyst.de/karriere/ausbildung/faqs-ausbildung-fachinformatiker-anwendungsentwicklung,portal,,,microSYST Systemelectronic GmbH | Deine Ausbildung bei microSYST: Fachinformatiker/-in Anwendungsentwicklung (m/w/d) – Fragen & Antworten | Bayern,ya,belum,rendah,Deine Ausbildung bei microSYST: Fachinformatiker/-in Anwendungsentwicklung (m/w/d) – Fragen & Antworten,,2026-06-11T11:49:11.596800+00:00
MAD-2432072334,meine_ausbildung_dpa,Gewo Feinmechanik GmbH,Bayern,,Ausbildung zum/zur Fachinformatiker/in für Daten- und Prozessanalyse (m/w/d),dpa,,,,40,company,,https://karriere.gewo.net/stellenangebot.html?yid=360&utm_source=meine-ausbildung-in-deutschland,portal,,,Gewo Feinmechanik GmbH | Ausbildung zum/zur Fachinformatiker/in für Daten- und Prozessanalyse (m/w/d) | Bayern,ya,belum,rendah,Ausbildung zum/zur Fachinformatiker/in für Daten- und Prozessanalyse (m/w/d),,2026-06-11T11:40:39.518979+00:00
