id_referensi,kategori,nama_perusahaan,kota,alamat,jenis_ausbildung,spesialisasi,tahun_mulai,bulan_mulai,gaji,skor_kelengkapan,tipe_website,email_bewerbung,link_bewerbung,cara_apply,kontak_hr,link_arbeitsagentur,ringkasan,butuh_manual,status_lamaran,prioritas,deskripsi,persyaratan,tanggal_scrape
10000-1205560927-S,fachinformatiker_ae_2026,MG Systems GmbH,"Plauen, Vogtland","Hradschin 12, 08523 Plauen, Vogtland",Ausbildung | Fachinformatiker/in - Anwendungsentwicklung,ae,2026,,,73,ba_portal,,https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1205560927-S,ba_portal,,https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1205560927-S,"MG Systems GmbH | Ausbildung | Fachinformatiker/in - Anwendungsentwicklung | Plauen, Vogtland",ya,belum,rendah,"Du arbeitest am liebsten am Computer und Programmiersprachen sind für dich kein Fremdwort? Wenn du zudem über einen Hang zur Analytik verfügst, ist eine Ausbildung in der IT vielleicht das richtige für dich.

Wir sind ein in Plauen ansässiges IT-Unternehmen mit Spezialisierung auf die Entwicklung kundenspezifischer Software und wollen von langfristigen Fachkräften profitieren, welche seit ihren Anfängen bei uns wachsen. Daher suchen wir für das kommende Lehrjahr 2026 motivierte Auszubildende Fachinformatiker – Anwendungsentwicklung (m/w/d). 

Was wir von dir erwarten:

- mindestens einen erfolgreichen Realschulabschluss mit guten Noten in Mathematik;
- logisches Denkvermögen sowie eine genaue Arbeitsweise;
- ein überdurchschnittliches Interesse am Arbeiten mit IT-Technik;
- erste Programmiererfahrungen wünschenswert;
- Wohnort in Plauen/V. und Umkreis 20 km 

Trifft das auf dich zu und wir haben dein Interesse geweckt, uns kennenzulernen? Super – dann lasse uns deine Bewerbungsunterlagen per Mail zukommen.",Mittlere Reife / Realschulabschluss,2026-06-11T08:12:21.739953+00:00
10000-1205590879-S,fachinformatiker_ae_2026,MasterSolution AG,"Plauen, Vogtland","Postplatz 12, 08523 Plauen, Vogtland",Ausbildung | Fachinformatiker/in - Anwendungsentwicklung,ae,2026,,,67,ba_portal,,https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1205590879-S,ba_portal,,https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1205590879-S,"MasterSolution AG | Ausbildung | Fachinformatiker/in - Anwendungsentwicklung | Plauen, Vogtland",ya,belum,rendah,"Wer wir sind:

Unser Team besteht aus begeisterten, innovativen und versierten Individualisten, Machern und Spezialisten.

Wo wir sind:

An unseren Standorten in Plauen, Dresden, und Chemnitz dreht sich alles um Organisieren, Entwickeln, Erstellen, Testen und Verkaufen.

Was wir tun:

Die Ergebnisse unserer Arbeit reichen von smarten Softwareprodukten und‑lösungen für Lern- und Wissensprojekte, über den Support von Digitalisierungsprozessen unserer Kunden, bis hin zu Visualisierungen durch Video‑ und Animationsfilme sowie VR‑ und AR‑Technologien.

Wen wir suchen:

Wir suchen kluge, kreative und lösungsorientierte Persönlichkeiten, die gern neue Wege gehen. Menschen, die ideenreich denken, mutig hinterfragen, kommunikativ auftreten oder einfach hervorragend in dem sind, was sie tun.

Was sie alle verbindet: die Motivation und der Antrieb, ihre „Berufung“ wirklich zum Beruf zu machen.

Was wir bieten:

Wir Kundenversteher, Strategen und Fachleute leben eine offene Unternehmenskultur mit flachen Hierarchien und Vertrauensarbeitszeit, die Raum für eine individuelle Entwicklung lässt.

Außergewöhnliche Projekte und aktuellste Technik werden mit attraktiven Gehältern und Extras kombiniert.

Warum wir?

Weil wir für das stehen, was wir tun und uns mit unseren Ideen, Projekten und Visionen vollständig identifizieren.

Warum du?

Weil Inspiration und Lernen, Tatendrang und Qualitätsanspruch sowie Selbstständigkeit und Kommunikation für dich untrennbar zusammengehören.

----------------------------------------------------------------------

Für den Ausbildungsbeginn 2026 suchen wir an unserem Standort Plauen interessierte,

begeisterte Jugendliche, die sich fit machen wollen für die Zukunft!

Das erwarten wir:

- Abitur oder Fachhochschulreife, auch Studienabbrecher sind willkommen
- Interesse am Betreiben von IT-Systemen
- Interesse am Entwickeln, Erstellen und Betreuen von IT-Lösungen
- Basiswissen über Hard- und Software
- Freude an einer abwechslungsreichen, verantwortungsvollen Tätigkeit
- Team- und Kundenorientierung
- freundliche Personen, die mitdenken und anpacken
- Zielstrebigkeit sowie Spaß an Leistung und Erfolg

Das erwartet Dich:

- eine qualifizierte Ausbildung in der Zukunftsbranche IT
- fachliche und persönliche Weiterentwicklung
- Wertschätzung und Verbundenheit in einem starken Team
- viel Praxiserfahrung und Eigenverantwortung mit klaren Zielen
- vielseitige IT-Projekte und aktive Mitarbeit an Kundenprojekten
- Erledigung von Aufgaben im Bereich Projekterstellung, -abwicklung und -betreuung
- Praktische Ausbildung in Plauen und Berufsschulunterricht in Rodewisch

Dein Start ins Berufsleben ist deine Chance auf eine Übernahme in Festanstellung und auf eine langfristige Zukunft bei uns. Finde heraus, was in dir steckt, und entwickle dein Potenzial weiter.",,2026-06-11T08:15:24.816307+00:00
