id_referensi,kategori,nama_perusahaan,kota,alamat,jenis_ausbildung,spesialisasi,tahun_mulai,bulan_mulai,gaji,skor_kelengkapan,tipe_website,email_bewerbung,link_bewerbung,cara_apply,kontak_hr,link_arbeitsagentur,ringkasan,butuh_manual,status_lamaran,prioritas,deskripsi,persyaratan,tanggal_scrape
ASD-995510000037436084,ausbildungsstellen_si,TSUBAKI KABELSCHLEPP GmbH,Wenden,Daimlerstraße 2 57482 Wenden Nordrhein-Westfalen,Ausbildung zum Fachinformatiker Fachrichtung Systemintegration (m/w/d) 2026,si,,,,47,empty,,https://www.karriere-suedwestfalen.de/registrieren/bewerber,portal,"Hier gilt es sich umgehend zu informieren und mit allen Neuheiten vertraut zu machen. Im Unternehmen wirst du einer der Ersten sein, die damit in Kontakt treten und Mitarbeiter darüber informieren können.
Beratende und unterstützende Funktionen stehen auch auf dem Tagesplan, wenn Probleme an computergesteuerten Arbeitsgeräten auftreten.
- Einen guten Realschulabschluss, die Fachhochschulreife oder die Allgemeine Hochschulreife (Abitur)
- Gute Noten in Mathematik, Physik und Informatik
- Interesse an IT, Technik und digitalen Lösungen
- Logisches Denkvermögen, Lernbereitschaft sowie Zuverlässigkeit und Teamgeist
- Hohe Übernahmechancen nach der Ausbildung
- Eine gute Betreuung über Deine Ausbildungszeit
- Flexible Arbeitszeiten (35h-Woche) durch Gleitzeit und Flexzeitkonten
- 30 Tage Urlaub im Kalenderjahr und Sonderurlaub zu bestimmten Anlässen
- Moderne, saubere Produktionshallen / Modernes Bürogebäude und moderne Arbeitsplatzausstattung
- Regelmäßige Events für Mitarbeiter + Familien
- Urban Sport, E-Bike Leasing uvm. -> zu den Benefits <-
TSUBAKI KABELSCHLEPP GmbH
Dieter Schmidt
Daimlerstraße 2
57482 Wenden",,TSUBAKI KABELSCHLEPP GmbH | Ausbildung zum Fachinformatiker Fachrichtung Systemintegration (m/w/d) 2026 | Wenden,ya,belum,rendah,Ausbildung zum Fachinformatiker Fachrichtung Systemintegration (m/w/d) 2026,,2026-06-13T12:28:51.212399+00:00
KSW-806143,karriere_sw_ae,TSUBAKI KABELSCHLEPP GmbH,Wenden,Daimlerstraße 2 57482 Wenden,Ausbildung zum Fachinformatiker Fachrichtung Systemintegration (m/w/d) 2026,si,,,,47,empty,,https://tsubaki-kabelschlepp.talentstorm.de/bewerbung/ausbildung-zum-fachinformatiker-fachrichtung-systemintegration-m-w-d-2026-24704,portal,"Hier gilt es sich umgehend zu informieren und mit allen Neuheiten vertraut zu machen. Im Unternehmen wirst du einer der Ersten sein, die damit in Kontakt treten und Mitarbeiter darüber informieren können.
Beratende und unterstützende Funktionen stehen auch auf dem Tagesplan, wenn Probleme an computergesteuerten Arbeitsgeräten auftreten.
- Einen guten Realschulabschluss, die Fachhochschulreife oder die Allgemeine Hochschulreife (Abitur)
- Gute Noten in Mathematik, Physik und Informatik
- Interesse an IT, Technik und digitalen Lösungen
- Logisches Denkvermögen, Lernbereitschaft sowie Zuverlässigkeit und Teamgeist
- Hohe Übernahmechancen nach der Ausbildung
- Eine gute Betreuung über Deine Ausbildungszeit
- Flexible Arbeitszeiten (35h-Woche) durch Gleitzeit und Flexzeitkonten
- 30 Tage Urlaub im Kalenderjahr und Sonderurlaub zu bestimmten Anlässen
- Moderne, saubere Produktionshallen / Modernes Bürogebäude und moderne Arbeitsplatzausstattung
- Regelmäßige Events für Mitarbeiter + Familien
- Urban Sport, E-Bike Leasing uvm. -> zu den Benefits <-
TSUBAKI KABELSCHLEPP GmbH
Dieter Schmidt
Daimlerstraße 2
57482 Wenden",,TSUBAKI KABELSCHLEPP GmbH | Ausbildung zum Fachinformatiker Fachrichtung Systemintegration (m/w/d) 2026 | Wenden,ya,belum,rendah,Ausbildung zum Fachinformatiker Fachrichtung Systemintegration (m/w/d) 2026,,2026-06-13T14:41:35.601720+00:00
