referenznummer,category_id,nama_perusahaan,titik_data_di_peta,posisi_kota,alamat_detail,detail_deskripsi,gaji,persyaratan,jenis_ausbildung,beruf_typ,deskripsi_perusahaan,apa_yang_ditawarkan,link_website_perusahaan,link_website_perusahaan_resmi,website_type,alamat_email_bewerbung,link_bewerbung,link_bewerbung_externe,link_bewerbung_efektif,bewerbung_sumber,kontak_penanggung_jawab,dokumen_yang_harus_dipenuhi,ba_job_url,sumber_data,ausbildung_de_url,is_duplicate_of_arbeitsagentur,duplicate_of_refnr,kelengkapan_score,scraped_at
MAD-2440497102,meine_ausbildung_ae,Baqué & Lauter GmbH,,Rheinbach,,Fachinformatiker/in - Anwendungsentwicklung,,,Fachinformatiker/in - Anwendungsentwicklung,ae,,,https://www.gerichtsvollziehersoftware.de,https://www.gerichtsvollziehersoftware.de,company,,https://suche.ausbildung.nrw/unternehmen/baqu%C3%A9-lauter-gmbh/562?utm_source=meine-ausbildung-in-deutschland,https://suche.ausbildung.nrw/unternehmen/baqu%C3%A9-lauter-gmbh/562?utm_source=meine-ausbildung-in-deutschland,https://suche.ausbildung.nrw/unternehmen/baqu%C3%A9-lauter-gmbh/562?utm_source=meine-ausbildung-in-deutschland,externe,,,,meine_ausbildung_de,,False,,40,2026-06-11T11:44:16.253558+00:00
MAD-2440445497,meine_ausbildung_ae,AMCON Software GmbH,,Cloppenburg,,Fachinformatiker/in - Anwendungsentwicklung,,,Fachinformatiker/in - Anwendungsentwicklung,ae,,,https://www.amcon.de,https://www.amcon.de,company,,https://ihk-boerse.de/unternehmen/amcon-software-gmbh/925?utm_source=meine-ausbildung-in-deutschland,https://ihk-boerse.de/unternehmen/amcon-software-gmbh/925?utm_source=meine-ausbildung-in-deutschland,https://ihk-boerse.de/unternehmen/amcon-software-gmbh/925?utm_source=meine-ausbildung-in-deutschland,externe,,,,meine_ausbildung_de,,False,,40,2026-06-11T11:44:16.793020+00:00
MAD-2440445437,meine_ausbildung_ae,A. Kayser Automotive Systems GmbH,,Einbeck,,Fachinformatiker/in - Anwendungsentwicklung,,,Fachinformatiker/in - Anwendungsentwicklung,ae,,,https://www.kayser-automotive.de,https://www.kayser-automotive.de,company,,https://ihk-boerse.de/unternehmen/a-kayser-automotive-systems-gmbh/1608?utm_source=meine-ausbildung-in-deutschland,https://ihk-boerse.de/unternehmen/a-kayser-automotive-systems-gmbh/1608?utm_source=meine-ausbildung-in-deutschland,https://ihk-boerse.de/unternehmen/a-kayser-automotive-systems-gmbh/1608?utm_source=meine-ausbildung-in-deutschland,externe,,,,meine_ausbildung_de,,False,,40,2026-06-11T11:44:18.468061+00:00
MAD-2440497065,meine_ausbildung_ae,A. u. K. Müller GmbH & Co. KG,,Düsseldorf,,Fachinformatiker/in - Anwendungsentwicklung,,,Fachinformatiker/in - Anwendungsentwicklung,ae,,,https://www.akmueller.de,https://www.akmueller.de,company,,https://suche.ausbildung.nrw/unternehmen/auk-mueller-gmbh-co-kg/2607?utm_source=meine-ausbildung-in-deutschland,https://suche.ausbildung.nrw/unternehmen/auk-mueller-gmbh-co-kg/2607?utm_source=meine-ausbildung-in-deutschland,https://suche.ausbildung.nrw/unternehmen/auk-mueller-gmbh-co-kg/2607?utm_source=meine-ausbildung-in-deutschland,externe,,,,meine_ausbildung_de,,False,,40,2026-06-11T11:44:18.853379+00:00
MAD-2440499258,meine_ausbildung_ae,merkarion GmbH,,Dortmund,,Fachinformatiker/in - Anwendungsentwicklung,,,Fachinformatiker/in - Anwendungsentwicklung,ae,,,https://www.merkarion.de,https://www.merkarion.de,company,,https://suche.ausbildung.nrw/unternehmen/merkarion-gmbh/2197?utm_source=meine-ausbildung-in-deutschland,https://suche.ausbildung.nrw/unternehmen/merkarion-gmbh/2197?utm_source=meine-ausbildung-in-deutschland,https://suche.ausbildung.nrw/unternehmen/merkarion-gmbh/2197?utm_source=meine-ausbildung-in-deutschland,externe,,,,meine_ausbildung_de,,False,,40,2026-06-11T11:44:19.231447+00:00
MAD-2440499265,meine_ausbildung_ae,NEW Niederrhein Energie und Wasser GmbH,,41236 Mönchengladbach,,Fachinformatiker/in - Anwendungsentwicklung,,,Fachinformatiker/in - Anwendungsentwicklung,ae,,,https://www.newkarriere.de,https://www.newkarriere.de,company,,https://suche.ausbildung.nrw/unternehmen/new-ag/67?utm_source=meine-ausbildung-in-deutschland,https://suche.ausbildung.nrw/unternehmen/new-ag/67?utm_source=meine-ausbildung-in-deutschland,https://suche.ausbildung.nrw/unternehmen/new-ag/67?utm_source=meine-ausbildung-in-deutschland,externe,,,,meine_ausbildung_de,,False,,40,2026-06-11T11:44:19.638144+00:00
MAD-2440445433,meine_ausbildung_ae,A&T Unternehmensgruppe,,Nordenham,,Fachinformatiker/in - Anwendungsentwicklung,,,Fachinformatiker/in - Anwendungsentwicklung,ae,,,https://www.a-t-move.de,https://www.a-t-move.de,company,,https://ihk-boerse.de/unternehmen/at-manufacturing-gmbh/2851?utm_source=meine-ausbildung-in-deutschland,https://ihk-boerse.de/unternehmen/at-manufacturing-gmbh/2851?utm_source=meine-ausbildung-in-deutschland,https://ihk-boerse.de/unternehmen/at-manufacturing-gmbh/2851?utm_source=meine-ausbildung-in-deutschland,externe,,,,meine_ausbildung_de,,False,,40,2026-06-11T11:44:20.041924+00:00
MAD-2440498931,meine_ausbildung_ae,HETKAMP GMBH,,Borken,,Fachinformatiker/in - Anwendungsentwicklung,,,Fachinformatiker/in - Anwendungsentwicklung,ae,,,https://www.hetkamp-gmbh.de,https://www.hetkamp-gmbh.de,company,,https://suche.ausbildung.nrw/unternehmen/hetkamp-gmbh/2659?utm_source=meine-ausbildung-in-deutschland,https://suche.ausbildung.nrw/unternehmen/hetkamp-gmbh/2659?utm_source=meine-ausbildung-in-deutschland,https://suche.ausbildung.nrw/unternehmen/hetkamp-gmbh/2659?utm_source=meine-ausbildung-in-deutschland,externe,,,,meine_ausbildung_de,,False,,40,2026-06-11T11:44:20.461122+00:00
MAD-2440498467,meine_ausbildung_ae,bluecue consulting GmbH & Co. KG,,Bielefeld,,Fachinformatiker/in - Anwendungsentwicklung,,,Fachinformatiker/in - Anwendungsentwicklung,ae,,,https://www.bluecue.de,https://www.bluecue.de,company,,https://suche.ausbildung.nrw/unternehmen/bluecue-consulting-gmbh-co-kg/3755?utm_source=meine-ausbildung-in-deutschland,https://suche.ausbildung.nrw/unternehmen/bluecue-consulting-gmbh-co-kg/3755?utm_source=meine-ausbildung-in-deutschland,https://suche.ausbildung.nrw/unternehmen/bluecue-consulting-gmbh-co-kg/3755?utm_source=meine-ausbildung-in-deutschland,externe,,,,meine_ausbildung_de,,False,,40,2026-06-11T11:44:21.331531+00:00
MAD-2440498571,meine_ausbildung_ae,Bruckmann Steuerungstechnik GmbH,,Uedem,,Fachinformatiker/in - Anwendungsentwicklung,,,Fachinformatiker/in - Anwendungsentwicklung,ae,,,https://www.bsg.de,https://www.bsg.de,company,,https://suche.ausbildung.nrw/unternehmen/bsg-bruckmann-steuerungstechnik-gmbh/521?utm_source=meine-ausbildung-in-deutschland,https://suche.ausbildung.nrw/unternehmen/bsg-bruckmann-steuerungstechnik-gmbh/521?utm_source=meine-ausbildung-in-deutschland,https://suche.ausbildung.nrw/unternehmen/bsg-bruckmann-steuerungstechnik-gmbh/521?utm_source=meine-ausbildung-in-deutschland,externe,,,,meine_ausbildung_de,,False,,40,2026-06-11T11:44:21.747627+00:00
MAD-2440447713,meine_ausbildung_ae,ConSoft GmbH,,Garbsen,,Fachinformatiker/in - Anwendungsentwicklung,,,Fachinformatiker/in - Anwendungsentwicklung,ae,,,https://www.consoft.de,https://www.consoft.de,company,,https://ihk-boerse.de/unternehmen/consoft-gmbh/2765?utm_source=meine-ausbildung-in-deutschland,https://ihk-boerse.de/unternehmen/consoft-gmbh/2765?utm_source=meine-ausbildung-in-deutschland,https://ihk-boerse.de/unternehmen/consoft-gmbh/2765?utm_source=meine-ausbildung-in-deutschland,externe,,,,meine_ausbildung_de,,False,,40,2026-06-11T11:44:22.185690+00:00
MAD-2440462661,meine_ausbildung_ae,Wolters Rundreisen GmbH,,Stuhr,,Fachinformatiker/in - Anwendungsentwicklung,,,Fachinformatiker/in - Anwendungsentwicklung,ae,,,https://www.tui-ferienhaus.de,https://www.tui-ferienhaus.de,company,,https://ihk-boerse.de/unternehmen/wolters-rundreisen-gmbh/2658?utm_source=meine-ausbildung-in-deutschland,https://ihk-boerse.de/unternehmen/wolters-rundreisen-gmbh/2658?utm_source=meine-ausbildung-in-deutschland,https://ihk-boerse.de/unternehmen/wolters-rundreisen-gmbh/2658?utm_source=meine-ausbildung-in-deutschland,externe,,,,meine_ausbildung_de,,False,,40,2026-06-11T11:44:23.580924+00:00
MAD-2440499224,meine_ausbildung_ae,invokable GmbH,,Remscheid,,Fachinformatiker/in - Anwendungsentwicklung,,,Fachinformatiker/in - Anwendungsentwicklung,ae,,,https://www.invokable.gmbh,https://www.invokable.gmbh,company,,https://suche.ausbildung.nrw/unternehmen/invokable-gmbh/694?utm_source=meine-ausbildung-in-deutschland,https://suche.ausbildung.nrw/unternehmen/invokable-gmbh/694?utm_source=meine-ausbildung-in-deutschland,https://suche.ausbildung.nrw/unternehmen/invokable-gmbh/694?utm_source=meine-ausbildung-in-deutschland,externe,,,,meine_ausbildung_de,,False,,40,2026-06-11T11:44:24.004963+00:00
