referenznummer,category_id,nama_perusahaan,titik_data_di_peta,posisi_kota,alamat_detail,detail_deskripsi,gaji,persyaratan,jenis_ausbildung,beruf_typ,deskripsi_perusahaan,apa_yang_ditawarkan,link_website_perusahaan,link_website_perusahaan_resmi,website_type,alamat_email_bewerbung,link_bewerbung,link_bewerbung_externe,link_bewerbung_efektif,bewerbung_sumber,kontak_penanggung_jawab,dokumen_yang_harus_dipenuhi,ba_job_url,sumber_data,ausbildung_de_url,is_duplicate_of_arbeitsagentur,duplicate_of_refnr,kelengkapan_score,scraped_at
MAD-2451218342,meine_ausbildung_dpa,Seeburger AG,,Köthen DE 06366,,"Ausbildung 2027 - Fachinformatiker, Fachrichtung Daten- und Prozessanalyse (all genders) - Köthen",,,"Ausbildung 2027 - Fachinformatiker, Fachrichtung Daten- und Prozessanalyse (all genders) - Köthen",dpa,,,https://www.seeburger.com,https://www.seeburger.com,company,,https://careers.seeburger.com/job/K%C3%B6then-Ausbildung-2027-Fachinformatiker%2C-Fachrichtung-Daten-und-Prozessanalyse-%28all-genders%29-K%C3%B6then-06366/1076558801/?utm_source=meine-ausbildung-in-deutschland,https://careers.seeburger.com/job/K%C3%B6then-Ausbildung-2027-Fachinformatiker%2C-Fachrichtung-Daten-und-Prozessanalyse-%28all-genders%29-K%C3%B6then-06366/1076558801/?utm_source=meine-ausbildung-in-deutschland,https://careers.seeburger.com/job/K%C3%B6then-Ausbildung-2027-Fachinformatiker%2C-Fachrichtung-Daten-und-Prozessanalyse-%28all-genders%29-K%C3%B6then-06366/1076558801/?utm_source=meine-ausbildung-in-deutschland,externe,,,,meine_ausbildung_de,,False,,40,2026-06-11T11:39:45.481429+00:00
MAD-2451028599,meine_ausbildung_dpa,Securepoint GmbH,,Lüneburg,,Ausbildung zum Fachinformatiker - Daten- und Prozessanalyse (m/w/d),,,Ausbildung zum Fachinformatiker - Daten- und Prozessanalyse (m/w/d),dpa,,,https://www.securepoint.de,https://www.securepoint.de,company,,https://www.securepoint.de/ueber-securepoint/karriere/jobs/details/ausbildung-zum-fachinformatiker-daten-und-prozessanalyse?utm_source=meine-ausbildung-in-deutschland,https://www.securepoint.de/ueber-securepoint/karriere/jobs/details/ausbildung-zum-fachinformatiker-daten-und-prozessanalyse?utm_source=meine-ausbildung-in-deutschland,https://www.securepoint.de/ueber-securepoint/karriere/jobs/details/ausbildung-zum-fachinformatiker-daten-und-prozessanalyse?utm_source=meine-ausbildung-in-deutschland,externe,,,,meine_ausbildung_de,,False,,40,2026-06-11T11:39:46.819847+00:00
MAD-2450823043,meine_ausbildung_dpa,Mercedes-Benz Group,,Stuttgart,,"Ausbildung zum Fachinformatiker Fachrichtung Daten- und Prozessanalyse (w/m/d), Mercedes-Benz AG, Werk Untertürkheim, Ausbildungsbeginn 13.09.2027",,,"Ausbildung zum Fachinformatiker Fachrichtung Daten- und Prozessanalyse (w/m/d), Mercedes-Benz AG, Werk Untertürkheim, Ausbildungsbeginn 13.09.2027",dpa,,,https://www.mercedes-benz.com,https://www.mercedes-benz.com,company,,https://jobs.mercedes-benz.com/ausbildung-zum-fachinformatiker-fachrichtung-daten--und-prozessanalyse-w-m-d-mercedes-benz-ag-werk-untert-rkheim-ausbildungsbeginn-13-09-2027-218613-MER00043CV?utm_source=meine-ausbildung-in-deutschland,https://jobs.mercedes-benz.com/ausbildung-zum-fachinformatiker-fachrichtung-daten--und-prozessanalyse-w-m-d-mercedes-benz-ag-werk-untert-rkheim-ausbildungsbeginn-13-09-2027-218613-MER00043CV?utm_source=meine-ausbildung-in-deutschland,https://jobs.mercedes-benz.com/ausbildung-zum-fachinformatiker-fachrichtung-daten--und-prozessanalyse-w-m-d-mercedes-benz-ag-werk-untert-rkheim-ausbildungsbeginn-13-09-2027-218613-MER00043CV?utm_source=meine-ausbildung-in-deutschland,externe,,,,meine_ausbildung_de,,False,,40,2026-06-11T11:39:47.315574+00:00
MAD-2449684344,meine_ausbildung_dpa,TopM Software GmbH,,Bobingen,,Ausbildung zum Fachinformatiker für Prozess- und Datenanalyse (m/w/d),,,Ausbildung zum Fachinformatiker für Prozess- und Datenanalyse (m/w/d),dpa,,,https://www.topm.de,https://www.topm.de,company,,https://www.topm.de/ausbildung-zum-fachinformatiker-m-w-d-fuer-prozess-und-datenanalyse/?utm_source=meine-ausbildung-in-deutschland,https://www.topm.de/ausbildung-zum-fachinformatiker-m-w-d-fuer-prozess-und-datenanalyse/?utm_source=meine-ausbildung-in-deutschland,https://www.topm.de/ausbildung-zum-fachinformatiker-m-w-d-fuer-prozess-und-datenanalyse/?utm_source=meine-ausbildung-in-deutschland,externe,,,,meine_ausbildung_de,,False,,40,2026-06-11T11:39:51.179923+00:00
MAD-2449463967,meine_ausbildung_dpa,OneQrew GmbH,,Stuttgart,,Ausbildung zum Fachinformatiker für Daten- und Prozessanalyse,,,Ausbildung zum Fachinformatiker für Daten- und Prozessanalyse,dpa,,,https://www.oneqrew.com,https://www.oneqrew.com,company,,https://oneqrew.softgarden.io/job/63129284/Ausbildung-zum-Fachinformatiker-f%C3%BCr-Daten-und-Prozessanalyse?jobDbPVId=274091886&utm_source=meine-ausbildung-in-deutschland&l=de,https://oneqrew.softgarden.io/job/63129284/Ausbildung-zum-Fachinformatiker-f%C3%BCr-Daten-und-Prozessanalyse?jobDbPVId=274091886&utm_source=meine-ausbildung-in-deutschland&l=de,https://oneqrew.softgarden.io/job/63129284/Ausbildung-zum-Fachinformatiker-f%C3%BCr-Daten-und-Prozessanalyse?jobDbPVId=274091886&utm_source=meine-ausbildung-in-deutschland&l=de,externe,,,,meine_ausbildung_de,,False,,40,2026-06-11T11:39:51.849052+00:00
MAD-2449521949,meine_ausbildung_dpa,Toshiba TEC Germany Imaging Systems GmbH,,Neuss,,Fachinformatiker/in - Daten- und Prozessanalyse,,,Fachinformatiker/in - Daten- und Prozessanalyse,dpa,,,https://de.toshibatec.eu,https://de.toshibatec.eu,company,,https://suche.ausbildung.nrw/unternehmen/toshiba-tec-germany-imaging-systems-gmbh/1481?utm_source=meine-ausbildung-in-deutschland,https://suche.ausbildung.nrw/unternehmen/toshiba-tec-germany-imaging-systems-gmbh/1481?utm_source=meine-ausbildung-in-deutschland,https://suche.ausbildung.nrw/unternehmen/toshiba-tec-germany-imaging-systems-gmbh/1481?utm_source=meine-ausbildung-in-deutschland,externe,,,,meine_ausbildung_de,,False,,40,2026-06-11T11:39:52.884437+00:00
MAD-2449216329,meine_ausbildung_dpa,Bette GmbH & Co. KG,,Delbrück,,Fachinformatiker/in - Daten- und Prozessanalyse,,,Fachinformatiker/in - Daten- und Prozessanalyse,dpa,,,https://www.my-bette.com,https://www.my-bette.com,company,,https://suche.ausbildung.nrw/unternehmen/bette-gmbh-co-kg/4823?utm_source=meine-ausbildung-in-deutschland,https://suche.ausbildung.nrw/unternehmen/bette-gmbh-co-kg/4823?utm_source=meine-ausbildung-in-deutschland,https://suche.ausbildung.nrw/unternehmen/bette-gmbh-co-kg/4823?utm_source=meine-ausbildung-in-deutschland,externe,,,,meine_ausbildung_de,,False,,40,2026-06-11T11:39:53.861952+00:00
MAD-2448899424,meine_ausbildung_dpa,BDE Engineering GmbH,,Beverungen,,Fachinformatiker/in - Daten- und Prozessanalyse,,,Fachinformatiker/in - Daten- und Prozessanalyse,dpa,,,https://www.bde-engineering.de,https://www.bde-engineering.de,company,,https://suche.ausbildung.nrw/unternehmen/bde-engineering-gmbh/3771?utm_source=meine-ausbildung-in-deutschland,https://suche.ausbildung.nrw/unternehmen/bde-engineering-gmbh/3771?utm_source=meine-ausbildung-in-deutschland,https://suche.ausbildung.nrw/unternehmen/bde-engineering-gmbh/3771?utm_source=meine-ausbildung-in-deutschland,externe,,,,meine_ausbildung_de,,False,,40,2026-06-11T11:39:55.243666+00:00
MAD-2447498050,meine_ausbildung_dpa,Hama GmbH & Co KG,,Monheim Bayern,,Ausbildung Fachinformatiker für Daten- und Prozessanalyse (m/w/d) – 01.09.2027,,,Ausbildung Fachinformatiker für Daten- und Prozessanalyse (m/w/d) – 01.09.2027,dpa,,,https://de.hama.com,https://de.hama.com,company,,https://www.hama-karriere.de/jobs/ausbildung-fachinformatiker-fuer-daten-und-prozessanalyse-m-w-d-01-09-2027/8a70ab829743d2fd0197cf0e2a4a3328?utm_source=meine-ausbildung-in-deutschland,https://www.hama-karriere.de/jobs/ausbildung-fachinformatiker-fuer-daten-und-prozessanalyse-m-w-d-01-09-2027/8a70ab829743d2fd0197cf0e2a4a3328?utm_source=meine-ausbildung-in-deutschland,https://www.hama-karriere.de/jobs/ausbildung-fachinformatiker-fuer-daten-und-prozessanalyse-m-w-d-01-09-2027/8a70ab829743d2fd0197cf0e2a4a3328?utm_source=meine-ausbildung-in-deutschland,externe,,,,meine_ausbildung_de,,False,,40,2026-06-11T11:39:56.190563+00:00
MAD-2446657483,meine_ausbildung_dpa,OneQrew GmbH,,Filderstadt,,Ausbildung zum Fachinformatiker (m/w/d) Daten- und Prozessanalyse ab September 2026,,,Ausbildung zum Fachinformatiker (m/w/d) Daten- und Prozessanalyse ab September 2026,dpa,,,https://www.oneqrew.com,https://www.oneqrew.com,company,,https://oneqrew.softgarden.io/job/45776039/Ausbildung-zum-Fachinformatiker-m-w-d-Daten-und-Prozessanalyse-ab-September-2026?jobDbPVId=273145156&utm_source=meine-ausbildung-in-deutschland&l=de,https://oneqrew.softgarden.io/job/45776039/Ausbildung-zum-Fachinformatiker-m-w-d-Daten-und-Prozessanalyse-ab-September-2026?jobDbPVId=273145156&utm_source=meine-ausbildung-in-deutschland&l=de,https://oneqrew.softgarden.io/job/45776039/Ausbildung-zum-Fachinformatiker-m-w-d-Daten-und-Prozessanalyse-ab-September-2026?jobDbPVId=273145156&utm_source=meine-ausbildung-in-deutschland&l=de,externe,,,,meine_ausbildung_de,,False,,40,2026-06-11T11:39:57.147442+00:00
